ScenarioID,Device,OS,Content,Codec,ServedBitrate,SegmentLength,FrameRate,PlayerName,GPU,NICType,Bandwidth,Metric
c34c0f54db1a4d21b4df83c7840e92ac,laptop,windows-10,Lifting_Off,vp9,3,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
dcc4fb050cd34639a4a5cc8af0b7503d,laptop,windows-10,Lifting_Off,vp9,4,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
2c37a303e2594e09a83ba9f9dc5b3b11,laptop,windows-10,Lifting_Off,vp9,5,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
818b4705ad134f1a9d271767fcaea64d,laptop,windows-10,Lifting_Off,vp9,6,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
c6818a50b0184edeb92a188f83c78a0a,laptop,windows-10,Lifting_Off,vp9,7,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
d9ba71c57842430e9206519dd03974ed,laptop,windows-10,Lifting_Off,vp9,8,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
ef39ea3c48ac472db7606bddcadf535f,laptop,windows-10,Lifting_Off,vp9,9,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
1202c4dc827c40019b26774790ab6e13,laptop,windows-10,Lifting_Off,vp9,10,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
11c03b0ede04476ab07d1670bbe8433d,laptop,windows-10,Lifting_Off,vp9,11,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
39d65d352b514bde8190790099f91f63,laptop,windows-10,Lifting_Off,vp9,12,2s,24,dashjs,enabled,localhost,-,Ren./Dec.
bbc6ce6cce054c278a606bea4975a69b,laptop,windows-10,Lifting_Off,vp9,1,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
b0018a7adc884d8991c43c0d1886228c,laptop,windows-10,Lifting_Off,vp9,2,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
b416af7e6a344b8fb97690820b0f8138,laptop,windows-10,Lifting_Off,vp9,3,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
f84edff4a220412db2d63b3c8c32b14d,laptop,windows-10,Lifting_Off,vp9,4,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
dd0df01a4a0d451f96a750422855e5d9,laptop,windows-10,Lifting_Off,vp9,5,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
dac7c98b9586435fbacdcd67fa92d1b0,laptop,windows-10,Lifting_Off,vp9,6,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
4fc8c5b9891c4ca381a1efb35001bca7,laptop,windows-10,Lifting_Off,vp9,7,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
2d78b2c4cf6a4e2d825b95cf360648aa,laptop,windows-10,Lifting_Off,vp9,8,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
9d0c86ee64f04b4292a8054a52e5c771,laptop,windows-10,Lifting_Off,vp9,9,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
5a735c1e836b4b76a0a23b7bca2416f7,laptop,windows-10,Lifting_Off,vp9,10,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
67e16c2436894c7b9949f361e75dcee7,laptop,windows-10,Lifting_Off,vp9,11,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
c20cb8db6d9a4290820e674468823bb5,laptop,windows-10,Lifting_Off,vp9,12,4s,24,dashjs,enabled,localhost,-,Ren./Dec.
5ef2e99d25564283a8c0e659834b07ff,laptop,windows-10,Lifting_Off,vp9,1,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
2942dbe0788749d7a51765c22c31a031,laptop,windows-10,Lifting_Off,vp9,2,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
ad5d7602687e4fcfa99bccbff0c5d3cc,laptop,windows-10,Lifting_Off,vp9,3,6s,24,dashjs,enabled,localhost,-,Ren./Dec.
